ipo_firm,year,forward_cnt4,forward_cnt5,forward_cnt7
DAISY SYSTEMS,1987,9,11,12
DAISY SYSTEMS,1988,10,12,15
DAISY SYSTEMS,1989,3,10,21
DAISY SYSTEMS,1990,5,5,10
Daktronics,1994,7,10,11
Daktronics,1998,3,5,8
Daktronics,1999,4,6,9
Daktronics,2000,6,7,8
Daktronics,2001,21,33,47
Daktronics,2002,5,12,17
Daktronics,2003,12,15,19
Daktronics,2004,26,33,81
Daktronics,2005,1,1,6
Daktronics,2006,7,11,21
Daktronics,2007,13,15,28
Daktronics,2008,7,7,9
Daktronics,2009,5,8,40
Daktronics,2010,21,42,86
Daktronics,2011,83,124,204
Daktronics,2012,141,203,310
Daktronics,2013,141,186,222
Daktronics,2014,38,51,54
Daktronics,2015,5,5,5
Daktronics,2016,4,4,4
DALE ELECTRONICS,1977,6,6,8
