ipo_firm,year,forward_cnt4,forward_cnt5,forward_cnt7
Cytyc,1992,7,10,12
Cytyc,1993,8,10,15
Cytyc,1994,1,2,3
Cytyc,1996,1,1,2
Cytyc,1997,5,8,8
Cytyc,1998,1,1,1
Cytyc,1999,2,2,2
Cytyc,2000,2,4,7
Cytyc,2001,7,7,13
Cytyc,2002,4,5,6
Cytyc,2003,13,19,39
Cytyc,2004,5,7,22
Cytyc,2005,3,5,13
Cytyc,2006,40,68,133
Cytyc,2007,4,12,51
Cytyc,2008,46,68,125
Cytyc,2009,51,71,198
Cytyc,2010,66,155,284
Cytyc,2011,71,97,157
Cytyc,2012,11,13,28
Cytyc,2013,66,83,104
Dailey Petroleum Services,1997,6,9,11
Dailey Petroleum Services,1999,1,3,3
DAISY SYSTEMS,1984,1,3,3
DAISY SYSTEMS,1985,2,2,4
