ipo_firm,assignee_firm,ticker,is_common,patent_cnt
ACE Ltd,Ace Manufacturing & Parts Company,ACE,1,8
ACE Ltd,Ace Manufacturing and Parts Co.,ACE,1,9
ACE Ltd,Ace Manufacturing Co.,ACE,1,2
ACE Ltd,"Ace Mechanical Technologies, Inc.",ACE,1,1
ACE Ltd,"Ace Medical Co., Ltd.",ACE,1,5
ACE Ltd,Ace Medical Company,ACE,1,11
ACE Ltd,"Ace Medical Technology Co., Ltd.",ACE,1,1
ACE Ltd,"Ace Memory, Inc.",ACE,1,2
ACE Ltd,"ACE METRIX, INC.",ACE,1,2
ACE Ltd,"Ace Mold Company, Ltd.",ACE,1,1
ACE Ltd,Ace Motorcycle Corporation,ACE,1,1
ACE Ltd,"Ace Novelty Co., Inc.",ACE,1,6
ACE Ltd,"ACE Oil Sands, L.P.",ACE,1,2
ACE Ltd,Ace Oil Tools AS,ACE,1,1
ACE Ltd,"Ace Optical Co., Ltd.",ACE,1,1
ACE Ltd,"Ace Orthopedic Manufacturing, Inc.",ACE,1,12
ACE Ltd,"Ace Package Co., Ltd.",ACE,1,1
ACE Ltd,"Ace Packaging Systems, Inc.",ACE,1,5
ACE Ltd,Ace Paper Products Co.,ACE,1,1
ACE Ltd,Ace Pest & Termite Control Co.,ACE,1,1
ACE Ltd,ACE Plastics Company Ltd.,ACE,1,3
ACE Ltd,"Ace Polymers, Inc.",ACE,1,2
ACE Ltd,"Ace Power International, Inc.",ACE,1,3
ACE Ltd,"Ace Premium Co., Ltd.",ACE,1,2
ACE Ltd,"Ace Product Management Group, Inc.",ACE,1,1
ACE Ltd,"Ace Rug Cleaners, Inc.",ACE,1,1
ACE Ltd,"ACE Safety Gear, LLC",ACE,1,1
ACE Ltd,Ace Service Incorporated,ACE,1,1
ACE Ltd,"ACE SOLUTECH CO., LTD.",ACE,1,2
ACE Ltd,"Ace Sophisticates, Inc.",ACE,1,1
ACE Ltd,"Ace Speciality Manufacturing, Inc.",ACE,1,1
ACE Ltd,"Ace Specialty, Inc.",ACE,1,14
ACE Ltd,ACE StoBdampfer GmbH,ACE,1,1
